G 0 0 0 	 0.00000000 
. 1 -1 -1 	 0.20000000 
. 2 -2 -2 	 0.40000000 
. 3 -3 -3 	 0.60000000 
. 4 -4 -4 	 0.80000000 
H 5 -5 -5 	 1.00000000 
. 5 -4 -5 	 1.14142136 
. 5 -3 -5 	 1.28284271 
. 5 -1 -5 	 1.42426407 
. 5 0 -5 	 1.56568542 
N 5 0 -5 	 1.70710678 
. 4 0 -4 	 1.84852814 
. 3 0 -3 	 1.98994949 
. 1 0 -1 	 2.13137085 
. 0 0 0 	 2.27279221 
G 0 0 0 	 2.41421356 
. 1 0 0 	 2.58741864 
. 3 1 -1 	 2.76062372 
. 4 1 -1 	 2.93382880 
. 6 2 -2 	 3.10703389 
P 7 2 -2 	 3.28023897 
. 7 3 -1 	 3.45344405 
. 6 3 0 	 3.62664913 
. 6 4 1 	 3.79985421 
. 5 4 3 	 3.97305929 
H 5 5 5 	 4.14626437 
