G 0.00000000  0.00000000 0.00000000  	 0.00000000 
. 0.00000000  0.10000000 0.00000000  	 0.11547369 
. 0.00000000  0.20000000 0.00000000  	 0.23094739 
. 0.00000000  0.30000000 0.00000000  	 0.34642108 
. 0.00000000  0.40000000 0.00000000  	 0.46189478 
M 0.00000000  0.50000000 0.00000000  	 0.57736847 
. -0.06666667  0.53333333 0.00000000  	 0.64403724 
. -0.13333333  0.56666667 0.00000000  	 0.71070601 
. -0.20000000  0.60000000 0.00000000  	 0.77737478 
. -0.26666667  0.63333333 0.00000000  	 0.84404355 
K -0.33333333  0.66666667 0.00000000  	 0.91071231 
. -0.26666667  0.53333333 0.00000000  	 1.04404985 
. -0.20000000  0.40000000 0.00000000  	 1.17738739 
. -0.13333333  0.26666667 0.00000000  	 1.31072493 
. -0.06666667  0.13333333 0.00000000  	 1.44406246 
G 0.00000000  0.00000000 0.00000000  	 1.57740000 
