G 0  0 0  	 0.00000000 
. 0  1 0  	 0.08148245 
. 0  2 0  	 0.16296489 
. 0  3 0  	 0.24444734 
. 0  4 0  	 0.32592978 
. 0  5 0  	 0.40741223 
. 0  6 0  	 0.48889467 
. 0  6 0  	 0.57037712 
. 0  8 0  	 0.65185956 
. 0  9 0  	 0.73334201 
. 0  10 0  	 0.81482445 
. 0  11 0  	 0.89630690 
M  0 12 0  	 0.97778934 
. -2 13 0  	 1.11892108 
. -4 14 0  	 1.26005281 
. -6 15 0  	 1.40118455 
K -8 16 0  	 1.54231628 
. -7 14 0  	 1.68344802 
. -6 12 0  	 1.82457975 
. -5 10 0  	 1.96571149 
. -4 8 0 	 2.10684322 
. -3 6 0 	 2.24797496 
. -2 4 0 	 2.38910670 
. -1 2 0	 2.53023843 
G 0 0 0	 2.67137017 
